trade_date,family,instrument_key,bars_in_session,equity_close,pnl_day,position_close
2023-02-27,MES,MES.v.0,78,99867.5,-132.5,0
2023-02-28,MES,MES.v.0,78,99857.5,-10.0,0
2023-03-01,MES,MES.v.0,78,99777.5,-80.0,0
2023-03-02,MES,MES.v.0,78,100242.5,465.0,0
2023-03-03,MES,MES.v.0,78,100165.0,-77.5,0
2023-03-06,MES,MES.v.0,78,100160.0,-5.0,0
2023-03-07,MES,MES.v.0,78,100160.0,0.0,0
2023-03-08,MES,MES.v.0,78,100115.0,-45.0,0
2023-03-09,MES,MES.v.0,78,100042.5,-72.5,0
2023-03-10,MES,MES.v.0,78,99982.5,-60.0,0
